Song,Artist,Album,Date Added,,,
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),2015-07-26T23:13:31Z,,,
Wild Ones (feat. Sia),Flo Rida Sia,Wild Ones (feat. Sia),2015-07-26T23:13:31Z,,,
Everybody Talks,Neon Trees,Everybody Talks,2015-07-26T23:13:31Z,,,
I Won't Give Up,Jason Mraz,I Won't Give Up,2015-07-26T23:13:31Z,,,
Get Lucky - Radio Edit,Daft Punk Pharrell Williams Nile Rodgers,Get Lucky,2015-07-26T23:13:31Z,,,
Radioactive,Imagine Dragons,Hear Me EP,2015-07-26T23:13:31Z,,,
Cruise - Remix,Florida Georgia Line Nelly,Cruise (Remix),2015-07-26T23:13:31Z,,,
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,The Heist,2015-07-26T23:13:31Z,,,
Mirrors,Justin Timberlake,Mirrors,2015-07-26T23:13:31Z,,,
Come & Get It,Selena Gomez,Come & Get It,2015-07-26T23:13:31Z,,,
Just Give Me a Reason,P!nk Nate Ruess,The Truth About Love,2015-07-26T23:13:31Z,,,
The Way,Ariana Grande Mac Miller,The Way,2015-07-26T23:13:31Z,,,
I Love It (feat. Charli XCX) - Original Version,Icona Pop Charli XCX,I Love It,2015-07-26T23:13:31Z,,,
